@relation 'base6-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-20'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute hillclimb numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
806,38.573009,2,1,0,1,FALSE
776,35.415691,2,1,0,1,FALSE
798,37.922173,2,1,0,0,FALSE
801,36.843441,2,1,0,0,FALSE
796,12.304903,2,1,0,0,FALSE
800,37.118946,2,1,0,0,FALSE
781,35.521881,2,1,0,0,FALSE
788,35.507378,2,1,0,0,FALSE
789,36.629265,2,1,0,0,FALSE
799,13.733658,2,1,0,0,FALSE
780,38.036373,2,1,0,0,FALSE
768,10.386442,2,1,0,0,FALSE
780,36.35907,2,1,0,0,FALSE
811,14.804287,2,1,0,0,FALSE
759,35.741856,2,1,0,0,FALSE
787,36.19521,2,1,0,0,FALSE
795,37.909378,2,1,0,0,FALSE
823,38.415085,2,1,0,0,FALSE
774,13.16511,2,1,0,0,FALSE
794,36.540215,2,1,0,0,FALSE
800,37.181694,2,1,0,0,FALSE
764,14.258494,2,1,0,0,FALSE
791,14.200363,1,1,0,0,FALSE
790,38.843956,1,1,0,0,FALSE
780,35.138329,1,1,0,0,FALSE
790,35.966965,1,1,0,0,FALSE
791,38.10815,1,1,0,0,FALSE
784,36.641716,1,1,0,0,FALSE
775,13.196403,1,1,0,0,FALSE
757,12.123587,1,1,0,0,FALSE
786,13.435646,1,1,0,0,FALSE
803,14.347597,1,1,0,0,FALSE
803,13.970881,1,1,0,0,FALSE
761,37.797752,1,1,0,0,FALSE
803,13.965839,1,1,0,0,FALSE
799,14.588766,1,1,0,0,FALSE
805,37.697937,1,1,0,0,FALSE
785,36.708916,1,1,0,0,FALSE
809,38.920856,1,1,0,0,FALSE
762,13.316849,1,1,0,0,FALSE
807,14.287567,1,1,0,0,FALSE
781,36.178837,1,1,0,0,FALSE
806,14.002544,4,1,0,1,FALSE
809,36.858173,4,1,0,1,FALSE
833,36.945839,4,1,0,1,FALSE
798,36.549812,4,1,0,1,FALSE
787,13.288076,4,1,0,1,FALSE
779,34.040165,4,1,0,1,FALSE
788,37.346687,4,1,0,1,FALSE
809,38.803181,4,1,0,1,FALSE
788,38.788177,4,1,0,1,FALSE
772,13.902925,4,1,0,1,FALSE
777,36.534771,4,1,0,1,FALSE
805,38.153801,4,1,0,1,FALSE
