@relation 'base7-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-17,19-20-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
3236,33.423016,2,1,0,FALSE
3180,71.122215,2,1,0,FALSE
3145,30.547424,2,1,0,FALSE
3312,34.779362,2,1,0,FALSE
3228,67.854828,2,1,0,FALSE
3192,69.456017,2,1,0,FALSE
3211,67.848297,2,1,0,FALSE
3213,67.566925,1,1,1,FALSE
3181,33.455978,1,1,1,FALSE
3225,33.462124,1,1,1,FALSE
3145,33.654003,1,1,1,FALSE
3134,31.80714,1,1,1,FALSE
3229,33.492699,1,1,1,FALSE
3178,32.698887,1,1,1,FALSE
3199,33.019985,1,1,1,TRUE
3202,71.192947,1,1,1,FALSE
3220,70.388657,1,1,1,TRUE
3180,67.61834,1,1,1,FALSE
3207,32.904362,1,1,1,FALSE
3180,70.191788,1,1,1,FALSE
3194,68.120651,1,1,1,FALSE
3329,69.572556,1,1,1,FALSE
3186,67.011917,1,1,1,TRUE
3231,69.473396,1,1,1,FALSE
3192,30.910637,1,1,1,FALSE
3188,68.518204,1,1,1,TRUE
3170,27.157051,1,1,1,FALSE
3218,33.17173,4,1,0,FALSE
3213,31.898041,4,1,0,FALSE
3236,32.246017,4,1,0,FALSE
3244,68.774979,4,1,0,FALSE
3093,31.155125,4,1,0,FALSE
3219,70.776703,4,1,0,FALSE
3203,32.83136,4,1,0,FALSE
3110,66.176071,4,1,0,FALSE
3151,66.900711,4,1,0,FALSE
3166,29.60257,4,1,0,FALSE
3148,32.52211,4,1,0,FALSE
3192,65.854416,4,1,0,FALSE
3202,68.603249,4,1,0,FALSE
3182,32.607693,4,1,0,FALSE
3230,68.010452,4,1,0,FALSE
3230,32.087708,4,1,0,FALSE
3163,32.366268,4,1,0,FALSE
3189,33.07756,4,1,0,FALSE
3218,33.052025,4,1,0,FALSE
3200,30.258286,4,1,0,FALSE
3234,68.886536,1,1,0,FALSE
3167,32.66634,1,1,0,FALSE
3156,31.706293,1,1,0,FALSE
3211,33.111279,1,1,0,FALSE
3237,33.591286,1,1,0,FALSE
3206,32.486614,1,1,0,FALSE
3161,32.511459,1,1,0,FALSE
3186,68.60511,1,1,0,FALSE
3132,32.317444,1,1,0,FALSE
3183,67.035217,1,1,0,FALSE
3282,69.042725,1,1,0,FALSE
3188,68.652725,1,1,0,FALSE
3209,33.808659,1,1,0,FALSE
3195,33.270504,1,1,0,FALSE
3261,69.36721,1,1,0,FALSE
3227,70.369537,1,1,0,FALSE
3171,32.855808,1,1,0,FALSE
3196,33.804916,1,1,0,FALSE
3240,67.354851,1,1,0,FALSE
3212,68.175659,1,1,0,FALSE
3224,68.010864,1,0,0,FALSE
3193,67.696854,1,0,0,FALSE
